-56,-64,-69,-71,-67,-68,-70,-70
-55,-66,-70,-75,-67,-71,-71,-74
-54,-63,-71,-75,-64,-65,-69,-75
-53,-63,-74,-69,-64,-68,-72,-71
-57,-65,-72,-75,-66,-70,-72,-71
-59,-66,-72,-74,-67,-70,-70,-77
-58,-62,-71,-73,-67,-67,-69,-72
-58,-68,-68,-73,-60,-67,-73,-75
-60,-69,-74,-73,-61,-66,-75,-72
-56,-65,-69,-72,-61,-65,-70,-73
-57,-63,-70,-75,-61,-64,-69,-72
-61,-67,-70,-76,-58,-65,-66,-74
-59,-69,-73,-71,-58,-65,-70,-68
-63,-65,-72,-70,-58,-64,-71,-73
-65,-67,-69,-70,-56,-66,-69,-71
-66,-66,-69,-75,-61,-63,-70,-72
-65,-70,-73,-76,-61,-64,-69,-76
-63,-70,-72,-70,-57,-67,-75,-73
-65,-68,-68,-72,-55,-66,-74,-73
-66,-71,-69,-71,-56,-65,-69,-72
-65,-69,-73,-73,-54,-64,-71,-72
-55,-66,-70,-76,-65,-66,-74,-77
-55,-66,-72,-76,-67,-69,-70,-77
-49,-63,-68,-74,-61,-68,-68,-74
-54,-67,-71,-73,-64,-67,-72,-73
-53,-68,-74,-71,-65,-70,-71,-72
-55,-61,-68,-74,-64,-69,-73,-72
-56,-66,-72,-72,-65,-66,-72,-78
-62,-66,-73,-75,-64,-68,-71,-75
-56,-61,-72,-72,-63,-64,-73,-74
-58,-66,-72,-76,-62,-64,-73,-74
-58,-64,-68,-71,-57,-67,-68,-74
-62,-67,-71,-71,-62,-64,-75,-77
-58,-67,-71,-74,-61,-65,-70,-73
-59,-67,-73,-73,-60,-63,-68,-72
-61,-65,-70,-72,-60,-66,-69,-74
-64,-64,-74,-75,-55,-65,-71,-72
-66,-67,-71,-73,-55,-69,-68,-73
-66,-69,-68,-72,-57,-65,-70,-75
-64,-67,-68,-74,-56,-65,-69,-72
-65,-70,-74,-75,-57,-65,-68,-73
-63,-65,-72,-72,-59,-64,-74,-70
-51,-66,-70,-72,-66,-70,-72,-70
-51,-63,-68,-75,-60,-66,-73,-73
-50,-62,-70,-73,-65,-67,-74,-75
-54,-64,-65,-70,-61,-68,-70,-70
-57,-64,-69,-72,-67,-71,-70,-68
-56,-66,-71,-74,-64,-70,-71,-73
-54,-64,-74,-71,-62,-68,-72,-77
-56,-66,-71,-68,-62,-66,-70,-71
-60,-62,-69,-70,-61,-62,-71,-72
-58,-68,-70,-73,-60,-66,-70,-72
-56,-68,-70,-72,-59,-66,-70,-74
-62,-64,-73,-73,-57,-63,-71,-73
-60,-68,-72,-73,-61,-67,-67,-74
-62,-68,-71,-73,-55,-67,-70,-73
-64,-67,-70,-71,-57,-64,-69,-74
-63,-68,-72,-74,-55,-66,-67,-74
-61,-65,-71,-72,-54,-66,-69,-73
