-53,-59,-80,-60,-74,100,-71,-80,-88,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90
-52,-59,-81,-60,-73,100,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92
-47,-57,-76,-62,-78,-78,-72,-75,-87,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-47,-56,-77,100,-74,-77,-73,-79,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-59,-80,-60,-73,-80,-77,-77,-88,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-47,-56,100,-61,-76,100,-71,-74,-87,-91,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-55,-75,-61,-78,100,-74,-74,-88,-92,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-53,-56,-79,-61,-74,100,-72,-80,100,100,-93,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-53,-59,-77,-59,-74,-81,-73,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-47,-57,-77,-62,-74,100,-77,-80,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-52,-77,-69,-70,-86,-76,-82,-91,-94,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-53,-48,100,-67,-72,-82,-67,-83,-87,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-60,-48,-76,-68,-71,100,-69,-83,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-48,-76,-66,-70,-86,-63,-83,-90,-93,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-48,-77,-66,-69,-85,-62,-83,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-56,-49,-78,-65,-71,-83,-67,-81,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-46,-53,-80,-71,-70,-82,-65,-86,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-51,-77,-66,-72,-86,-63,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-48,-46,-74,-70,-74,-82,-68,-81,-92,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-48,-74,-69,-70,-86,-64,-85,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-49,-77,-67,-76,-80,-62,-73,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-49,-76,100,-77,100,100,-74,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-57,-48,-79,-59,-77,-80,-65,-75,-86,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-57,-48,-75,-60,-76,-82,-65,-75,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-56,-47,-77,-60,-77,100,-62,-75,-85,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84
-53,-47,-77,-69,-77,100,-61,-76,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-56,-50,-77,-60,-76,-81,-65,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-46,-76,-68,-77,100,-62,-76,-90,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-47,100,100,-77,100,-64,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85
-52,-47,-79,-68,-77,-81,-64,-74,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90
-60,-46,-78,-62,-77,-73,-70,-72,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85
-50,-46,100,-58,-77,-75,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87
-59,-45,-77,-65,-77,100,-75,-75,-88,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-50,-52,-81,-58,-76,100,-69,-70,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87
-50,-51,-81,-58,-78,100,-74,-73,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86
-50,-50,-78,-58,-78,-75,-69,-72,-88,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-57,-52,-70,-57,-79,-75,-70,-71,-87,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89
100,-50,-77,-60,-76,-75,-69,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-59,-45,-78,-62,100,100,-76,-72,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89
-50,-47,-77,-58,-77,100,-69,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-61,-52,-77,-55,-75,-83,-62,-72,-82,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86
-58,-52,-78,-56,-80,100,-63,-72,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-57,-53,-77,-60,-79,-77,-60,-72,-85,100,100,-91,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83
-59,-53,-74,-57,-83,-78,-66,-73,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81
100,-52,-77,-63,-77,-78,-60,-72,-85,-93,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81
-53,-52,-77,-61,-77,-80,-58,-71,-88,100,100,-89,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,-52,-76,-63,100,-78,-63,-72,-84,-95,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87
-59,-53,-76,-56,-77,100,-62,-72,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83
-57,-53,-76,-54,-78,100,-63,-71,-86,100,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81
-53,-51,-76,-62,-78,-79,-60,-71,-87,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83
-64,-52,-76,-58,-81,100,-70,-77,-86,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79
-56,-52,-77,-54,-81,100,-71,-78,-83,-93,100,-83,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80
-54,-59,-76,-55,-81,100,-68,-75,-89,100,100,-91,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80
-64,-52,-76,100,-82,100,-68,-77,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79
-54,-60,-77,-56,-82,-73,-71,-78,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80
-54,-59,-77,-55,-82,-72,-68,-78,-83,-93,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80
-63,-52,-77,-61,-81,-74,-70,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81
-64,-52,-77,-59,100,-72,-80,-75,-84,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-64,-54,-75,-56,-72,100,-68,-79,-86,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-63,-54,-76,-60,-81,100,-71,-74,-92,-91,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78
-62,-53,100,-58,-81,100,-72,-66,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
